,title,Categorie,collect,town,Pourcentage Raised,Creation Date,Description,NumberDonors
499,help to feed our horses aide pour nos chevaux,Animals & Pets,"€800 raised of €3,000                    ",Paris,26.7%,"Created December 3, 2021","Dear all,Once again, Morocco has closed its borders. This is the 3rd time in less than 2 years and each time, this has a huge impact on our bookings. People are scared to travel and even more to book holidays in Morocco since they don't know what will happen and if they will be able to come.Without customers, we have no income to feed our horses. I do my best to support them with my personal savings but after nearly 2 years, it is harder and harder to fund the food of our horses.So once again, any help will be welcome... There are no words to thank you all for the help you already provided in 2020. If some of you want/can help us again, I would like to thank all of you again for your contributions!!!To give you an idea, we need about 120 euros per horse per month for the food... We also have to pay the team for taking care of the horses.... So the total each month is about 2300 euros...A huge choukrane dear friends!!Sophie from Zouina ChevalBonjour à tous,Une fois de plus, le Maroc a fermé ses frontières.C'est la 3ème fois en moins de 2 ans et à chaque fois, cela a un impact très négatif sur nos réservations.Les gens ont peur de voyager et encore plus de réserver un séjour au Maroc car ils ont peur que leurs vacances soient annulées au dernier moment suite à une nouvelle fermeture des frontières.Sans clients, nous n'avons aucune entrée d'argent pour nourrir nos chevaux. Je fais tout ce que je peux pour aider avec mes fonds personnels mais après presque 2 ans, cela devient de plus en plus difficile de financer l'achat de la nourriture des chevaux.Une fois de plus, toute aide sera la bienvenue...Aucun mot ne pourra vous remercier pour toute l'aide que vous nous avez déjà apportée en 2020. Si certains veulent/peuvent nous aider encore, je vous en remercie infiniment par avance !!!Pour vous donner une idée, nous avons besoin d'environ 120 euros par cheval et par mois... Nous devons également rémunérer l'équipe pour prendre soins des chevaux et les maintenir en forme... Au total, nous dépensons environ 2300 euros chaque mois...Un énorme merci à vous!!Sophie de Zouina ChevalRead more",22
500,aidez casper soigner sa patte,Animals & Pets,€360 raised of €360                    ,Hénin-Beaumont,100.0%,"Created December 9, 2021","Il y a un mois j’ai retrouvé ce magnifique chat errant qui avait la patte enflée. Nous avons fait de notre mieux pour le remettre en état, afin qu’il puisse marcher à nouveau sans difficultés. Mais malgré nos efforts rien ne semblait fonctionner et Gasper continuait tout de même à boiter. Hier le vétérinaire lui a refait passer des radios et après consultation dans une clinique spécialisée le verdict est tombé...la seule option pour que Gasper ne souffre plus, c’est l’amputation de sa patte ! Cette opération est très coûteuse et s’ajoute à de nombreux frais que nous avons pris en charge.  Les frais s’élèvent à 360 euros.Si vous souhaitez aidez Gasper à retrouver une vie presque normale n’hésitez pas à participer à cette cagnotte. Le moindre centime compte pour lui ! Merci d’avance à toutes et tous pour votre générosité ! Read more",25
501,essential eye surgery for hero,Animals & Pets,"€1,265 raised of €1,260                    ",Chameyrat,100%,"Created January 6, 2022","Meet Hero. He spent the first 7 years of his life forgotten about, in a very small cage at the back of a vet clinic in Bahrain. It was wrongly assumed that Hero was totally blind and that no one would want to adopt a totally blind cat, and so they didn't try, that is until one day last year when a friend of the vet posted a video of Hero on Facebook (video included). Hero was pacing in his little cage, you could see and feel the desperation within him. It was truly an awful 7 years for this poor boy and I was not going to allow him to continue to live in this way.Fast forward some months, with the help of ResCat, Bahrain's only registered cat based charity, and some wonderful fosters and donators, Hero now has a wonderful home and a Mamma of his own in the UK. AND, we received such wonderful news today that Hero does indeed have some sort of vision in his 'good' eye, likely shadows mainly, but still what amazing news! He also has an excellent bill of health, with amazing teeth but needs to lose a little weight hahaha!His vet has also confirmed definitively that Hero cannot see anything out of his other eye and it is much better for his health and safety to remove it and suture it closed. As you can imagine, this is not a cheap surgery and so we are hoping that we can get some help to cover the cost. It is approximately £700 for the surgery itself and the remaining £300 is for his stay in the clinic, some pre-surgery tests/prep and medicine. The formal quotation is also attached.Even the smallest of donations will help (the big ones too! haha). Thank you so much in advance. I will be posting updates here after his surgery.Read more",43
502,help sissy fly to her swiss forever home,Animals & Pets,€415 raised of €525                    ,Bry-sur-Marne,79.0%,"Created November 26, 2021","Baby Sissi was found abandoned in an empty villa with more than 35 other cats....Their owner, an elderly lady who had lived in the U.A.E. for 30 years, had to return to the UK, her home country, due to health issues. No one among her family members wanted to take care of the abandoned animals, despite the rescuers’ plea.Fortunately the two nannies who had been working for her at the villa continued to bring them food and water on a daily basis. It was them who contacted us last May 21st informing that the rental period would have expired in 3 days and that the landlord had decided to take over to renovate the property and remove the trees that provided shade.Sissi is one of the first cats rescued at the villa, as she was already being attacked by stray cats. Her health was thoroughly checked, she was sterilised and vaccinated and found an amazing temporary home while waiting for her forever one.Her fosterer adores her for her sweet and loving personality: she sleeps next to her human companions, sits calmly on their laps while they watch TV and loves to receive cuddles while in their arms. She is giving her the alias ""MY GLUE"" Sissi is also a very smart young lady and think she is human. She is writing on the computer, drinking in the glass and watching Netflix (do not pause the video or she will meow you !)Leila, the fosterer who is taking care of her, is absolutely in love with Sissi but she couldn't adopt her due to her work travels which start this January. And Sissi often gets bored in a small flat, she dreams the outdoor with all its amazing discoveries and preys. For sure she will miss her a lot but she is thrilled to know she will soon meet her forever family. We will find it in Switzerland.But to realise her dream, Sissi needs your help, no matter the size: even a small contribution will help towards the cost of her travel. Unfortunately the airline companies are not very charitable and the ticket price is high :ticket : 445 eurostravel document 30 eurosiata carrier 50 eurosIf you are willing to be a part of Sissi’s journey of love, please contribute what you can to the fundraise and share among your friends!From the bottom of Sissi’s heart, a big thank you!Read more",9
503,opration des yeux pour oukiok,Animals & Pets,€680 raised of €700                    ,Guyonvelle,97.1%,"Created December 11, 2021","Je m'appelle Monique.Je possède un chien loup tchécoslovaque qui a besoin d'une opération des yeux, car il devient aveugle et souffre.J'ai peu d'argent et l'opération coûte 700 euros.Cela me peine de voir mon animal ainsi diminué et c'est la raison pour laquelle je sollicite une aide et remercie tous ceux qui se mobiliseront pour Oukiok.Read more",23
504,sauvez dipe,Animals & Pets,"€780 raised of €2,500                    ",Duranus,31.2%,"Created December 3, 2021","Bonjour Je m’appelle Rémy et voici mon chien malinois Œdipe que j’ai eu à l’âge de 2 mois. Son prénom est sûrement prédestiné parce que à l’âge de 5 mois , j’ai appris que il avait une dégénérescence oculaire de naissance et donc une perte de vue partielle avec une cataracte en progression. Œdipe compense  son handicap en étant extrêmement tactile, calin, et un grand joueur solitaire vu qu il ne voit pas distinctement les objets, chiens, humains en face et donc se méfie. Depuis que il est petit , tous les jours il profite de balades avec moi ou il recherche des objets, ses sens olfactifs sont extrêmement développés, cours comme un cabri dans des lieux sans obstacles et avec le temps, l’habitude des lieux et la présentation de chaque objet , barrière, nouveauté dans son environnement ,il est un chien heureux, joueur qui compense son handicap en se dépensant physiquement.il y’a 3 semaines , au réveil, Œdipe ne pose plus sa patte avant gauche et a un énorme œdème. Il pèse 40 kilos ( de muscles) et nous contactons immédiatement une clinique qui fait des domiciles. Il était intransportable. Le vétérinaire vient à domicile, soupçonne une entorse, prescrit des anti-inflammatoires et l’immobilise,prix du déplacement 150€. Le moral de Œdipe est au plus bas pendant une semaine , il perd sa musculature et du poids.il y’a 10 jours, le vétérinaire revient , lui retire l’attelle et dis que c’est normal que Œdipe ne pose pas sa patte pour l’instant. C’est de l’appréhension. Prix du déplacement 90€.Lundi, Œdipe qui a récupéré un meilleur moral mais qui ne pose toujours pas sa patte réussit  à rentrer dans la voiture pour un contrôle chez mon vétérinaire qui était absent depuis deux mois. Le diagnostic tombe , le véto est très inquiet et prends d’urgence rdv chez un chirurgien orthopédique à Nice afin de faire des radios.Mercredi 17:00 à Univet à Nice pour les radios. Après consultation, les nouvelles ne sont pas bonnes, il faut aller à Cannes pour des radios sous  anesthésie. Prix de la soirée 90€.Aujourd’hui, Vendredi, Œdipe sort de son brouillard doucement de retour à la maison après son périple matinal Levens-Cannes-Levens de ce matin , il doit être opéré le 14 décembre d’une arthrodèse de la patte avant gauche avec une greffe prise de son épaule et une plaque afin de souder son “poignet” ou deux fractures ont été vu  sur les radios. Sa patte sera raide mais après une petite année de rééducation douce, plusieurs résines, des soins continus il va récupérer le droit de marcher, courir dans le près, et même sauter sur ses 4 pattes! C’est assez fréquent comme intervention chez les chiens sportifs, chien de chasse, lévriers, chiens loup. Coût de la matinée 437€ …Maintenant , mon chien doit subir cette opération au risque sinon de finir sa vie sur trois pattes et la facture est de 1800€ en plus de frais précédent. Il sera hospitalisé du Mardi 14 Décembre au Jeudi 16 Décembre; c’est une opération très technique mais l’équipe médicale est spécialisée donc je suis confiant. J’ai besoin de votre aide financière, en effet je perçois moins de 800€ par mois avec un loyer de 850€ et vis grâce à une aide allocation handicap.Je tiens à votre disposition, les comptes rendus, facturés et devis bien sûr.Le vétérinaire me promet de retrouver mon Titou de nouveau apte à courir, sauter, jouer et heureux comme avant…..Merci pour tout votre soutien pour lui…Read more",14
505,aider moi rparer mes pattes,Animals & Pets,"€760 raised of €5,000                    ",Saint-Avold,15.2%,"Created December 15, 2021","Bonjour à tous, je m’appelle Rambo.Mes maîtres m’ont adopté il y a 10 mois par l'association Audrey & CO (https://www.facebook.com/lesaudreysandco) car la vie en Roumanie n'était pas faite pour moi. Je suis pucé, vacciné et stérilisé. Je suis plein de vie, foufou, j'aime tellement courir et jouer, normal j'ai 1 an et demi. Malheureusement mes pattes arrières m’empêchent de faire tout cela. On m'a découvert une maladie génétique qui déforment mes pattes arrières : mes tendons et mes rotules ne tiennent plus.Malgré tout l'amour de mes maîtres, je ne peux pas guérir tout seul, je dois me faire opérer. Et ces opérations coûtent chères.Nous avons besoins votre aide et de votre générosité. Chaque euro compte.Un gros merci à tousRead more",23
506,aide pour les examens de naska,Animals & Pets,€50 raised of €670                    ,Dagny,7.5%,Created 2 days ago,"Bonjour à tous, je m'appelle Donia et je me tente une cagnotte pour les frais élevée de mon fils d'amour, Naska. Naska est un American Staff âgée de 5ans, bleu et pur race, celui ci et malheureusement très fragile. Je suis seul, locataire et j'ai toujours jusqu'ici pu faire en sorte que mon chien ai une belle vie et reçoive les meilleurs soins suite à ça santé très fragile. Depuis le 20 Août 2021, une petite boule c'est formée sur la patte avant gauche de Naska,  les médecins l'ont de suite pris en charge, Rien d'alarmant, nous repartons donc avec des médicaments à prendre pendant 1semaine. Tout ce passe bien pendant 1mois, Fin Octobre, rebelotte, la boule refait surface, un peu plus grosse cet fois ci, de retour à la clinique les vétérinaire s'étonne de la voir de retour, Naska est de nouveau mis sous antibiotiques un peu plus puissant, c'est à surveiller, mais toujours rien d'alarmant. La santé de Naska ferra ""le yoyo"" d'Août jusqu'au 11 Janvier. Au matin, la patte de Naska à réellement tripler de volume, il ne la pose plus au sol, ne veux plus sortir et ne veux pas ce nourrir non plus. On arrive en urgence à la clinique vétérinaire, On m'explique qu'ils ne savent pas vraiment ce qui se passe, Naska est de nouveau sous antibiotiques, il passera en 2jours un tas d'examens (plusieurs radios, des analyses bactériologiques, cytoponctions..) Seul les analyses se révèleront positif (il y à donc bien une bactérie dans le corps de Naska), mais quoi ? Les premiers examens ne sont que le commencement.. Nous avons maintenant rendez vous pour un scanner qui sera suivie par de la chirurgie. L'état de Naska se stabilise mais la boule elle se déplace.. Je n'arrive plus financièrement à assumer seule toutes ses dépenses.. C'est pour cela qu'aujourd'hui je vous demande de l'aide, non pas pour moi, mais pour la santé de Mr Naska.. On vous remercie de nous avoir lu, et merci à tous ceux qui pourrons nous aider !! Read more",4
507,help inna the explorer operation frenes,Animals & Pets,€115 raised of €556                    ,Toulouse,20.7%,Created 4 days ago,"English / Français / EspañolEnglish:Hello,I am Inna the explorer. You may have seen me on social media before. I am a tiktok famous chihuahua who was adopted in Mexico.We had very bad news during my last nervous pregnancy. There were complications and we noticed that I have mammary tumors. I need surgery for:sterilize meCheck my uterus, and if necessary remove it tooRemove breast tumors and maybe outright breast chains if necessary!We decided to launch this GoFundMe to help us finance the operation.Thank you all for your support and positive vibes. Your messages make us extremely happy and give us strength!--------------------------------------------------------------FrançaisBonjour,Je suis Inna the explorer, la chihuahua adoptée au Mexique qui voyage partout et maintenant tiktokeuse à plein temps :)On a eu une très mauvaise nouvelle lors de ma dernière grossesse nerveuse. Il y a eu des complications et on s'est aperçu que j'avais des boules dans les chaines mammaires. Il faut m'opérer pour :Me stériliserVérifier l'état de mon utérus, et si nécessaire le retirer aussiretirer les tumeurs mammaires et peut être carrément les chaînes mammaires si nécessaire !On a décidé de lancer cette cagnotte pour nous aider à financer l'opération.Merci à tous pour votre soutien et vos ondes positives. Vos messages nous font extrêmement plaisir et nous donne de la force !--------------------------------------------------------------EspañolHola,Soy Inna the explorer, la chihuahua adoptada en México que viaja a todos lados y ahora tiktoker a tiempo completo :)Tuvimos muy malas noticias durante mi último embarazo nervioso. Hubo complicaciones y notamos que tenía un tumor mamario. Necesito operarme para:esterilízameVerificar el estado de mi útero y, si es necesario, extirparlo también.Eliminar el tumor y tal vez las cadenas de mama si es necesario!Decidimos lanzar este GoFundMe para ayudarnos a financiar la operación.Gracias a todos por su apoyo y sus buenas ondas. ¡Sus mensajes nos hacen extremadamente felices y nos dan fuerzas!TiktokInstagramBlog  (FR/ES)Read more",4
508,collecte de fonds pour sauver mon chat mounette,Animals & Pets,"€472 raised of €1,500                    ",Paris,31.5%,"Created October 30, 2021","Bonjour, je m’appelle Angélique. Je suis étudiante à Paris et je me retrouve en ce moment prise entre les frais exorbitants pour sauver mon chat de 12 ans et mes frais quotidien… la situation devient très compliquée avec mes petits revenus. A cela s’ajoute la fatigue et une inquiétude immense. Elle présente du liquide dans son thorax, appelé épanchement pleural. Pour les premiers examens j’ai déjà supporté avec mes économies la somme de 500€. Malheureusement les examens et soins sont encore loins d’être terminés. Afin d’être sûr de ce qu’elle a et d’être plus à même de la soigner nous devons réaliser d’autres recherches telles qu’un scanner de son thorax et une échographie de son cœur. Elle est à l’heure actuelle sous cortisone ce qui lui permet de retrouver un peu d’appétit et d’éviter que le liquide ne se reproduise trop vite. Elle a subit également une ponction de liquide pour tenter de soulager un peu sa respiration ce qui explique qu’elle n’ai plus de poil sur les deux côtés de son bidou. Actuellement seule du haut de mes 23 ans à assumer ses frais je fais appel à votre générosité, peu importe la somme… elle est tout ce que j’ai, elle me suit depuis mes 10 ans et j’espère avoir la possibilité de la suivre elle aussi jusqu’au bout. Elle se bat sans relâche mais sans examens, pas de soin adapté et donc pas de guérison… Je vous remercie infiniment d’avoir déjà lu ce message, et je souhaite beaucoup de courage à toutes nos petites bêtes et leurs maîtres. Read more",18
509,aidez gustave vaincre la pif fip warrior,Animals & Pets,"€340 raised of €1,200                    ",Fontaine-Chaalis,28.3%,"Created November 11, 2021","Aidez Gustave à vaincre la PIF - Please save Gustave from FIPFR: Bonjour, je vous présente mon adorable petit Gustave, qui a été diagnostiqué d'une PIF humide au début du mois d'octobre, date depuis laquelle nous nous battons pour le maintenir en vie.EN: Hello, this is my adorable little Gustave, who was diagnosed with a wet FIP just a month ago. Since we have been fighting to keep him alive.FR: On l'aime tellement ce petit bonhomme! Nous l'avons adopté en 2020 un peu avant Noël, auprès d'une association qui vient en aide aux chats errants et qui avait recueilli toute une portée. Les chats noirs trouvant difficilement preneurs, l'association ne lui trouvait pas de foyer. Nous n'avions pas vu de photos de lui , mais qu'importe, nous avions de l'amour à apporter ce petit chaton de 3 mois quelque soit sa bouille.Quel merveilleux choix nous avons fait, ""Gus"" illumine notre vie depuis presque un an, il est si doux, si gentil, avec une personnalité tellement attachante!EN: We love this little guy so much! We adopted him just before Christmas 2020, from a local animal protection group that rescues stray cats and had foster a whole litter. Because of their color, black cats tend to be less adopted, and the local shelter was having hard time to find him a home. We hadn't seen any pictures of him, but we had love to give to this little 3 month old kitten, whatever what he would look like.What a wonderful choice we made, ""Gus"" has been lighting up our lives for almost a year from now, he's so sweet, so kind, with such an endearing personality!FR: Hélas, il y a un mois, Gustave a commencé à avoir un ventre anormalement gonflé accompagné d'une perte sévère d'appétit (lui qui est normalement si glouton!), son beau poil est devenu terne, et cette petite boule d'énergie est devenue totalement prostrée, tremblant de froid (et probablement de douleur )EN: Sadly about a month ago, Gustave began to have an abnormally swollen belly accompanied by a severe loss of appetite (while he normally has such a voracious appetite!), His beautiful hair became dull, and our lovely furry creature full of energy became totally prostrate, shaking with cold (and probably pain)FR: Le diagnostique du vétérinaire est tombé avec une violence terrible : Péritonite Infectieuse Féline (PIF). Maladie mortelle, incurable en France, notre petit chat ne survivrait pas à la fin du mois...Mais nous avons dans notre malheur eu la chance d'avoir une vétérinaire formidable qui nous a de suite parlé d'un traitement expérimental disponible à l'étranger. Ce traitement est long, contraignant (une injection tous les jours pendant presque 3 mois) et très cher: il dépend du poids du chat, pour Gustave il faut s'attendre à un total d'au moins 1500€EN: The veterinarian's diagnosis fell like a bombshell: Feline Infectious Peritonitis (FIP). Fatal disease, with no medication available in France, our little cat would be dead at the end of the month ...But we were fortunate enough to have a wonderful veterinarian who immediately told us about an experimental treatment available abroad. This is a stringent and demanding treatment (one injection every day for almost 3 months) and very expensive: it depends on the weight of your cat, for Gustave the total bill would probably achieve around € 1,500, just for the medication.FR: Même si ce prix est relativement élevé (s'ajoute à cela les frais de vétérinaires, à ce jour nous en sommes déjà à plus de 400€), il nous est totalement impensable de ne pas tenter de sauver Gustave. Nous avons serré notre budget et acheté les premières doses pour environ 500€ (soit un peu plus d'un mois de traitement environ compte tenu de son poids en début de traitement).Quel miracle de voir Gustave petit à petit reprendre vie ! Il répond très bien au traitement: très rapidement il s'est de nouveau nourri et le liquide qui remplissait inexorablement son abdomen a commencé à réduire.EN: Even if this price is relatively high (plus the veterinary fees, to date we already paid € 400 for veterinary bills), we can't imagine not trying to save Gustave. We tightened our budget and early October we bought the first doses for around € 500 (a little bit more of one month on therapy, given the weight at the start of treatment).What a pleasure to see Gustave gradually coming back to life! He is responding very well to his therapy : very quickly he started to eat again like before and the fluid that inexorably filled his abdomen began to reduce.FR : Il n'est pas encore au top de sa forme, mais cela fait un tel plaisir de le voir à nouveau retrouver un peu de cette personnalité que nous aimons tant en lui ! Il a repris du poids aussi. Cela veut dire que les doses de chaque injection seront plus importantes et plus couteuses aussi (actuellement environ 20€ l'injection). Mais ça veut dire aussi que Gustave est plus fort pour combattre l'infection !EN: He's not in top form yet, but it's such a pleasure to see him recover et regain some of that personality that we love so much ! He gained weight too. This means that each injection will be bigger and more expensive too (currently around € 20 per injection). But it also means that Gustave is stronger for fighting infection!FR: Il nous faut absolument poursuivre le traitement et nous avons besoin de vous. Le budget pour la fin de son traitement est évalué à un peu plus de 1200€, entre les injections et les rdv chez le vétérinaire, qui doit lui faire régulièrement des examens.EN: We absolutely need to continue the treatment and we need you. The budget for the end of his treatment is estimated at around € 1,200, between injections and veterinarian appointments.FR: Certains pourraient penser que ""ce n'est qu'un chat"" (on nous déjà fait tant de fois la réflexion...), mais pour nous c'est un membre de la famille et il nous parait impensable de ne pas tout faire pour le sauver, surtout s'il est réceptif à ce traitement. Ce traitement coûte très cher, mais nous ferons tout pour le sauver. Et si vous qui passez par là pouvez nous apporter votre soutien, cela sera d'un très grand réconfort!Toute aide, même minime, peut faire la différence.EN: Some might think that ""it is only a cat"" (that something we've already been said so many times yet...), but for us Gustave is a member of our family and it seems unthinkable for us not to do everything to save him, especially if he is receptive to this treatment. This treatment is very expensive, but we will do everything to save it. We cannot express how grateful we would be for any kind of donation you could give to us to save our precious kitten. Any help, however small, can make a difference.FR: Merci d'avoir lu notre histoire et merci à tous ceux qui pourrons aider notre cher Gustave de quelque manière que ce soit.EN: Thank you for reading our story and thank you to everyone who can help our dear Gustave in any way.Read more",12
510,aider flicka,Animals & Pets,"€390 raised of €1,500                    ",Saint-Avold,26.0%,"Created December 18, 2021",Bonjournous sommes une association en cours d inscription et nous avons recueillis Flicka qui a d énormes problèmes de peau. N ayant pas encore de ressources nous avons besoin d aide pour la soigner. Merci de toute l aide que vous pourriez nous apporter Read more,10
511,help chess fly to his new home,Animals & Pets,€290 raised of €450                    ,Chameyrat,64.4%,"Created November 2, 2021","Chess was rescued as a tiny orphan kitten last year from the streets of Bahrain.  He was then adopted by a family whom he lived with for a year but was unfortunately returned a few months ago this year due to no fault of his own.   It isn't very uncommon in this part of the world for people to abandon their pets once the novelty wears off. The family asked us to take him back or they would release him on the streets.  The latter was obviously not an option since he was raised in a home and would not have the skills to survive on the streets.   So we took him back & started to look for another home/ family.   However, we have been unsuccessful at rehoming Chess in Bahrain as good homes are few.   So with the help of Rescat (a local cat charity in Bahrain that helps with rehoming cats abroad) we were able to find an amazing home for him in the Netherlands.  Lucky for Chess, he now has a wonderful family waiting in the Netherlands to welcome him to their home.  But the costs to get him there are substantial (approx. £600). We have already had him neutered, fully vaccinated & microchipped.  His new family is able to contribute £280 which leaves to raise the remaining amount and we have to do it fast as Chess is scheduled to fly out in 2 weeks time!! We are super excited for Chess to start this new adventure & he now requires everyone's help to be able to join his forever home in the Netherlands. Please can you help us to fly Chess to his new home by donating any amount, big or small? Anything will be highly appreciated. Your donation will change his life! Thank you from the bottom of our hearts if you decide to donate. If you can't donate, please share this campaign with your friends & family.Thanks so much.Note:  I am posting on behalf of a rescuer in Bahrain, Yasmeen Khan.Read more",7
512,projet lzard anolis carolinensis,Animals & Pets,"€234 raised of €1,000                    ",Hescamps,23.4%,"Created October 31, 2021","Bonjours à toutes et à tous,       Je fait cette cagnotte pour m'aider à créer une occupation qui m'aidera à sortir de ma dépression.    Ayant un traitement qui m'empêche de travailler, mon médecin m'a conseillé de suivre ma passion afin de pouvoir remonter la pente et me sortir de cette tourmente.Cela fait déjà plus d'un an que je suis en dépression.    Mais malheureusement n'ayant pas les moyens, je fait appel à vous afin de pouvoir m'en sortir.     Bien sur en contrepartie, j'ai crée une page facebook afin que vous puissiez suivre au fur et à mesure l'avancé du projet que je compte mettre en place, et de vous montrer l'intérêt, ainsi que le sérieux de celui-ci.     Le projet c'est de faire un terrarium arboricole pour lézard anolis carolinensis.     Merci à vous pour votre générosité.     Voici le lien de la page facebook. https://www.facebook.com/Anolis-carolinensis-102942952195204Read more",8
513,aidez lassociation larche ornaise pour protgerv,Animals & Pets,"€220 raised of €3,000                    ",La Ferrière-aux-Étangs,7.3%,"Created November 3, 2021",Juste des dons pour sauver les petits Loulou qui en ont tant besoins aidez cette associations tous l’argent leur sera reverser la directrice de l’association est au courant Erika julienne de l’arche OrnaiseRead more,8
514,aide pour soigner mile,Animals & Pets,€520 raised of €500                    ,Gometz-le-Châtel,100%,"Created January 5, 2022","[english below]BonjourÉmile, amour de chat de 12 ans est atteint d'insuffisance rénale. Son état s'est dégradé ces dernières semaines, la prise de sang n'est pas bonne et il vomi ses médicaments.Il nécessite une hospitalisation avec perfusions ainsi qu'une échographie que je ne peux pas financer suite au précédent frais ( consultation, examen sanguin, médicaments, ...) et en vu de ma situation financière.Émile a été adopté à ses 8 ans et donc n'a pas pu être bénéficiaire d'une assurance santé car trop vieux.Son copain Barbouille et moi sommes extrêmement triste de la situation. C'est un chat extraordinaire qui m'apporte un réel soutien au quotidien.Vous êtes bien sûr obligé de rien mais même un tout petit dons ou un partage peut beaucoup aider ‍:)C'est la première fois que j'utilise cette plateforme mais si je peux je donnerais des nouvelles ici.Émile et moi vous remercions pour votre soutienHelloÉmile, a 12-year-old lovely cat , suffers from kidney failure. His condition has deteriorated the last weeks, the blood test is not good and He's throwing up his medication.He needs to be hospitalised with a meds perfusions and an ultrasound which I cannot afford because the previous costs and my financial situation.Émile was adopted when he was 8 years old and so he was too old to subscribe to an health insurance.His friend Barbouille and I are extremely sad about the situation. He is so important to me and help me to fight every day with my mental health issues.Of course you don't have any obligation but even a very small donation and / or sharing can help a lot ‍:)This is the first time I use this site but if I can I will give some news here .Emile and I are grateful for your supportRead more",18
515,help me care for lucky phillis,Animals & Pets,€140 raised of €500                    ,Saint-Mars-sur-Colmont,28.0%,"Created November 17, 2021","Hey there, first of all thanks for getting this far and reading our story. My husband and I found a little cat yesterday near some bins, she had been there for hours without moving much and it was cold so we knew something was wrong. I asked my husband to pull over and I got out to check on her. She ran straight over to me and it became instantly apparent that she was in a bad way. I could see she was extremely thin but worst of all she looked to have serious injuries on her back.my husband drove off to the nearest vets to borrow a cat box and I stayed with Lucky Phillis, feeding her cat treats I had in the boot of the car from just having been to the shops.Once at the vets, we saw the extent of her injuries, she has been bitten by a dog, the wounds are old and have become infected creating abscesses which have burst her skin. Poor Phillis had to be shaved, cleaned and stapled with no anesthesia as she was so malnourished the vet worried a sedative would kill her.I have brought her home now and she is living in my warm bathroom and eating us out of house and home!! She has to have antibiotics daily and I need to clean her wounds and remove any puss … delightful.We are cat people and already have 9 rescue cats (2 that we rescued just this year) and I have to confess the idea of another mouth to feed, plus all her vet bills, plus the cost of sorting her once she is well, chipping, vaccinating and spaying is all a bit daunting so we’re asking for help.I don’t like asking at all I have always managed to care for any rescues that needed me but poor Phillis is arriving at a difficult time in our lives and well we could really use some help.I have posted her photo everywhere I can possibly think, and rung around all the vets and town halls in our area but to no avail. No one seems to be looking for Lucky Phillis.We will of course look after her and make sure she is ok but if you can spare anything it would really help her. Poor little soul does not deserve this.Here are some photos of her wounds, not for the faint hearted.Thanks for reading our story xxxRead more",9
516,cek97 lucky needs help,Animals & Pets,€135 raised of €200                    ,Orléans,67.5%,"Created November 15, 2021","Recently I had to take my 13 years old cat, Lucky to the vet. He started drinking more, urinating more, and lost weight. His blood test revealed high sugar in his blood. Probably diabete.  In order to get him proper treatment, I have to take him back. I work a full time job, but I live alone. I have no close relative to ask to, because they are either in a complicated financial situation or they simply won't help. I am not one who likes asking others for help. But Lucky is one of the most important thing in my life. His health is deteriorating and I really want him to be back to his old fluffy self. I am not asking help for me, but for him. Read more",6
517,soins vtrinaire pour samal,Animals & Pets,"€260 raised of €1,140                    ",Marmont-Pachas,22.8%,"Created November 29, 2021","Bonjour à vous, Mon petit amour, Samaël a été percuté par une voiture, je vous laisse imaginer dans quel état psychologique je me trouve actuellement. Il a du subir une intervention à la patte gauche pour pouvoir s'en remettre. Samaël est tout jeune il est du 15 août c'est un adorable compagnon qui est entré dans ma vie et je me vois pas du tout sans lui à présent. Étant dans une situation délicate j'en appelle à votre générosité pour faire face aux frais, si tel n'était pas le cas je n'aurais pas fait appel à vous soyez en certains. Je vous remercie d'avance pour SamaëlMerci infiniment du fond de mon cœur. MylèneRead more",15
518,aidez notre chat caramel,Animals & Pets,"€220 raised of €2,500                    ",Saucats,8.8%,"Created November 22, 2021","Je collecte de dons pour sauver notre petit boule de poil qui s'appelle Caramel qui a eu un accident le vendredi 19/11/21, il a un oeil non récuperable, plusieurs fractures aux machoirs , manque des dents et de peau au niveau de menton. Pour cela il faudra plusieurs opérations ainsi que post-opération qui vont nous coûter au moins 2500€. Nous, toute la famille est triste, voudrions sauver notre chat et reprendre la vie comme avant avec lui ; le voir manger, jouer, dormir partout où il veut, sauter, courir, s'amuser et chasser dans le jardin.., c'est un gentil et magnifique chat blanc et roux poil long..  Aidez-nous s'il vous plaît. En vous remerciant énormement pour votre gentillesse et votre participation. Read more",9
