,Categorie,town,Pourcentage Raised,Creation Date,NumberDonors,Duration in days,Short_description,Amount collected ,Amount targeted,MeanDonation,categoryNumeric,townNumeric,size
10,"Medical, Illness & Healing",Lyon,8.5,2021-12-18,11,43,"['French/Français', 'Bonjour', 'appelle', 'Lydia', 'conjoint', 'Nathanaël', 'collectons', 'fonds', 'chirurgie', 'maxillo-faciale', 'devrons', 'effectuer', 'autour', 'faisons', 'retrouverons', 'problèmes', 'articulations', 'arthroses', 'sommes', 'obligation', 'faire', 'cette', 'chirurgie', 'notre', 'santé', 'cette', 'chirurgie', 'lourde', 'allons', 'écarter', 'palais', 'avancer', 'mâchoire', 'remettre', 'droite', 'celle', 'décalée', 'conjoint', 'allons', 'avancer', 'celle', 'bas.Je', 'alternante', 'année', 'louons', 'petit', 'appartement', 'boursière', 'formation', 'BPGEPS', 'aurez', 'compris', 'avons', 'meilleure', 'situations', 'financière', 'cette', 'opération', '3000€', 'environ', '2000€', 'charge', 'reste', '1000€', 'environ', 'équivalent', 'conjoint', 'compter', 'anesthésiste', 'séjour', 'hospitalier', 'avons', 'mutuelle', 'rembourse', 'notre', 'situation', 'financière', 'permet', 'financer', 'cette', 'chirurgie', 'nécessaire', 'notre', 'santé', 'permettons', 'susciter', 'votre', 'avonsjamais', 'genre', 'demande', 'permettons', 'aujourd', 'sommes', 'besoin.Je', 'demande', 'aider', 'financer', 'chirurgie', 'serons', 'jamais', 'reconnaissants.Laissez', 'petit', 'message', 'extrêmement', 'plaisir', 'Lydia', 'Nathanaël.English/Anglais', 'Hello', 'Lydia', 'years', 'partner', 'Nathanaël', 'years', 'raising', 'funds', 'maxillofacial', 'surgery', 'which', 'perform', 'around', 'March', 'joint', 'problems', 'osteoarthritis', 'later', 'obligation', 'surgery', 'health', 'major', 'surgery', 'going', 'palate', 'aside', 'upper', 'forward', 'lower', 'straight', 'which', 'shifted', 'spouse', 'going', 'advance', 'bottom', 'work-study', 'student', 'renting', 'small', 'apartment', 'scholarship', 'holder', 'either', 'BPGEPS', 'training', 'understand', 'financial', 'situation.For', 'operation', 'around', 'taken', 'roughly', 'equivalent', 'spouse', 'without', 'counting', 'anesthesiologist', 'hospital', 'mutual', 'health', 'insurance', 'which', 'reimburse', 'financial', 'situation', 'allow', 'finance', 'surgery', 'which', 'necessary', 'health', 'allow', 'ourselves', 'never', 'request', 'allow', 'ourselves', 'today', 'because', 'need.So', 'these', 'surgeries', 'never', 'grateful', 'you.Leave', 'little', 'message', 'extremely', 'happy', 'Lydia', 'Nathanaël.Read']",170.0,2000.0,15.454545454545455,1,25,2
11,"Medical, Illness & Healing",Ottmarsheim,26.2,2021-12-15,25,46,"['bonjour', 'appelle', 'Mélanie', 'cancer', 'aggraver', 'besoin', 'votre', 'frais', 'hospitalier', 'remercie', 'bénisse']",785.0,3000.0,31.4,1,29,3
12,"Medical, Illness & Healing",Rennes,13.9,2021-11-20,16,71,"['SOSSalimatou', 'barry', 'couturière', 'Souffre', 'douleurs', 'atroces', 'niveau', 'ventre', ""l'empeche"", 'marcher', 'Alitée', 'depuis', 'malade', 'sollicite', 'votre', 'assistance', 'prise', 'charge', 'médical', 'Faîtes', 'parlez', 'cœurs', 'Agissons', 'avant', ""qu'il"", 'encore', 'tard.Orange', 'Money', '+224628237749Read']",278.0,2000.0,17.375,1,31,2
13,"Medical, Illness & Healing",Six-Fours-les-Plages,17.7,2021-11-24,18,67,"['Rodolphe', 'toujours', 'etait', 'besoin', 'urgenceRead']",530.0,3000.0,29.444444444444443,1,32,3
14,"Medical, Illness & Healing",Nantes,13.5,2021-12-11,40,50,"['ENTIER', 'AVANT', 'PRENDRE', 'TICKETS', 'pensait', 'vendre', 'uniquement', 'tickets', 'soirée', 'mesure', ""qu'on"", 'recevait', ""s'est"", ""c'était"", 'faire', 'attendre', 'longtemps', 'Tenez', 'votre', 'cette', 'édition', ""c'est"", 'première', 'dernière', 'gagner', 'entre', 'autres', 'tatouage', ""d'une"", 'valeur', ""d'achat"", 'votre', 'friperie', 'préférée', 'culotte', 'éthique', 'inclusive', 'voulez-vous', 'séance', 'photo', 'prints', ""d'illustrations"", 'aussi', 'photographes', 'militants', 'tot-bags', 'commerçants', 'queers', 'chouchous', ""d'autres"", 'merveilles', 'encore', 'Comment', 'acquérir', 'précieux', 'tickets', 'direz', 'compte', 'votre', 'tirelire', 'permet', 'prendre', 'plusieurs', 'chances', 'gagner', 'culotte', ""C'est"", 'simple', 'ticket', 'inclut', 'dedans', 'frais', 'cagnotte', 'sinon', 'toutes', 'recettes', ""c'est"", 'encore', 'toujours', 'uniquement', 'Sidaction', 'CEGIDD', 'Nantes', ""qu'on"", 'quand', 'sympa', 'propose', 'chaque', 'palier', 'tickets', ""c'est"", 'gratuit', 'tickets', 'tickets', 'gratuit', 'tickets', 'tickets', 'gratuits', 'bisou', 'Marilyn', 'bonne', 'humeur', 'confiance', 'maths', ""c'est"", 'notre', ""l'offre"", 'cumulable', 'paliers', 'ATTENTION', 'faites', 'anonymes', 'sinon', 'tickets', 'seront', 'propriétaires', ""c'est"", 'triste.Read']",675.0,5000.0,16.875,1,33,3
15,"Medical, Illness & Healing",Vesancy,17.0,2021-12-02,21,59,"['María', 'sonríe', 'cantar', 'Tiene', 'apenas', 'tocado', 'vivir', 'María', 'Paula', 'Fusagasugá', 'Vereda', 'junto', 'Nelson', 'hermanito', 'adora', 'cuida', 'fuera', 'Ellos', 'trabajan', 'finca', 'mismo', 'viven', 'casita', 'pequeñita', 'donde', 'todos', 'duermen', 'misma', 'habitación', 'María', 'encarga', 'hermanito', 'ayuda', 'quehaceres', 'María', 'sometida', 'cirugías', 'nació', 'condición', 'congénita', 'llamada', 'Labio', 'leporino', 'paladar', 'hendido', 'malformación', 'bebés', 'muchas', 'causas', 'realidad', 'incierto', 'finalmente', 'origen', 'condición', 'papás', 'hecho', 'todos', 'esfuerzos', 'hacer', 'cirugías', 'requiere', 'sabemos', 'funciona', 'sistema', 'salud', 'Colombia', 'pueden', 'acarrear', 'gastos', 'transportes', 'hasta', 'Bogotá', 'terapias', 'lenguaje', 'psicológicas', 'otras', 'gastos', 'sumando', 'Somos', 'Erwan', 'Paola', 'pareja', 'francolombiana', 'felizmente', 'casada', 'súper', 'llamada', 'Olivia', 'cuestiones', 'conocimos', 'familia', 'meses', 'cautivaron', 'María', 'familia', 'adorables', 'llenos', 'decimos', 'verracos', 'trabajar', 'Erwan', 'Paola', 'decidieron', 'emprender', 'proyecto', 'María', 'Sonríe', 'donaron', 'dinero', 'comenzar', 'recuperación', 'cirugías', 'faltan', 'María', 'requieren', 'solidaridad', 'amigos', 'familiares', 'conocidos', 'conocidos', 'seguir', 'exitosamente', 'causa', 'primero', 'hicieron', 'llevar', 'María', 'Bogotá', 'donde', 'primera', 'probaron', 'pizza', 'elegida', 'María', 'hawyana', 'imaginan', 'sonrisas', 'sacaron', 'Conoció', 'escaleras', 'eléctricas', 'centro', 'comercial', 'maquinitas', 'importante', 'conoció', 'bella', 'sonrisa', 'mejores', 'especialistas', 'condición', 'Federico', 'Vargas', 'revisó', 'contó', 'ahora', 'requiere', 'María', 'pueda', 'sonreírle', 'Necesita', 'cirugías', 'cerrar', 'orificios', 'paladar', 'conectan', 'nariz', 'cirugía', 'cerrar', 'otros', 'orificios', 'encía', 'poner', 'hueso', 'acomodar', 'dientes', 'estética', 'labio', 'superior', 'Junto', 'requiere', 'terapia', 'lenguaje', 'terapia', 'psicológica', 'sumar', 'Bogotá', 'algunas', 'noches', 'alojamiento', 'ahora', 'están', 'organizando', 'varias', 'iniciativas', 'sonreír', 'María', 'Entre', 'ellas', 'sitio', 'internet', 'recibir', 'aportes', 'Inició', 'cumpleaños', 'Paola', 'donde', 'familia', 'amigos', 'desean', 'hacerle', 'regalo', 'María', 'ellos', 'sumando', 'iniciativas', 'iremos', 'contando', 'ustedes', 'puedan', 'resultados', 'amigos', 'Colombia', 'países', 'donde', 'moneda', 'diferente', 'aportes', 'serán', 'euros', 'decir', 'equivale', 'aprox', '4.500', 'pesos', 'sucesivamente', 'resto', 'amigos', '¡Vamos', 'sonrisas', 'falta', 'mundo', 'apoyas', 'difundes', 'historia', 'desde', 'Olivia', 'Erwan', 'Paola', 'abrazo', 'virtual', 'familia', 'María', 'GRACIAS', 'María', 'inmensa', 'sonrisa.Read']",851.0,5000.0,40.523809523809526,1,35,3
16,"Medical, Illness & Healing","Le Gosier, Guadeloupe",22.8,2022-01-10,21,20,"['Salut', 'appelle', 'Erwan', 'homme', 'trans', 'actuellement', 'enfermé', 'corps', 'correspond', 'identité.Après', 'longues', 'démarches', 'enfin', 'pouvoir', 'bénéficier', ""mammectomie.C'est"", 'étape', 'importante', 'sentir', 'mieux.Je', 'appel', 'chacun', ""m'aider"", 'financer', 'cette', 'opération', 'revient', '2500€.En', ""qu'étudiant"", 'arriverai', 'serai', 'reconnaissant', 'chaque', 'versé', 'chaque', 'partage', 'effectué', ""m'aider"", 'sentir', '♥️.Hi', 'Erwan', '24-year-old', 'trans', 'currently', 'locked', 'which', 'match', 'identity.After', 'procedures', 'surgery', 'March', '2022.This', 'important', 'which', 'better.I', 'finance', 'surgery', 'which', 'still', 'costs', '€2,500.As', 'student', 'alone', 'grateful', 'donation', 'share', 'about', 'myself.♥️', '.Read']",570.0,2500.0,27.142857142857142,1,36,2
17,"Medical, Illness & Healing",Vaires-sur-Marne,4.5,2021-11-30,11,61,"['¡Hola', 'Queremos', 'compartir', 'todos', 'ustedes', 'situación', 'atraviesa', 'nuestra', 'familia', 'Alberto', 'Castillo', 'Cedeño', 'diagnosticado', 'LESIÓN', 'TUMORAL', 'MALIGNA', 'MUCOSA', 'RECTAL', 'pocas', 'semanas', 'diagnóstico', 'sorprendió', 'familia', 'sobre', 'nuestro', 'querido', 'Alberto.Esta', 'enfermedad', 'cáncer', 'origina', 'recubrimiento', 'recto', 'mucosa', 'rectal', 'parte', 'inferir', 'intestino', 'grueso', 'Clínicamente', 'desconoce', 'razones', 'causas', 'enfermedad', 'embargo', 'detectado', 'atacarse', 'forma', 'inmediata', 'evitar', 'comprometer', 'otras', 'partes', 'región', 'intestinal.Para', 'quienes', 'saben', 'Alberto', 'joven', 'dedicado', 'mayor', 'parte', 'realizar', 'actividades', 'deporte', 'mundo', 'fitness', 'priorizando', 'salud', 'sobre', 'todas', 'cosas', 'estilo', 'completamente', 'saludable.Hoy', 'Alberto', 'atraviesa', 'situación', 'necesita', 'ayuda', 'familiares', 'amigos', 'personas', 'allegadas', 'cubrir', 'gastos', 'médicos', 'enfermedad', 'tomado', 'sorpresa', 'todos', 'importante', 'comience', 'inmediato', 'tratamiento', 'quimioterapia', 'radioterapia', 'varios', 'meses', 'vencer', 'batalla', 'forma', 'poder', 'lograr', 'pronta', 'recuperación.Es', 'complicada', 'situación', 'Alberto', 'necesitará', 'apoyo', 'oraciones', 'todos', 'familia', 'agradecemos', 'corazón', 'cualquier', 'colaboración', 'deseen', 'brindar', 'monetaria', 'Muchas', 'gracias', 'todos', 'tomado', 'segundo', 'tiempo', 'donar', 'simplemente', 'nuestro', 'querido', 'Alberto', 'estamos', 'seguros', 'multiplicará', 'salud', 'bendiciones.¡VAMOS', 'BATALLA', 'CONTRA', 'CÁNCER', 'CÁNCER.Read']",357.0,8000.0,32.45454545454545,1,38,3
18,"Medical, Illness & Healing",Hérouville-Saint-Clair,8.5,2022-01-11,12,19,"['Bonjours', ""m'appelle"", 'depuis', ""l'âge"", 'problème', ""l'œil"", 'souhaiterais', 'faire', 'opération', 'coûteuse', 'arrêt', 'moqueries', 'genre', 'crevé', ""j'arrive"", 'sentir', ""j'ose"", 'après', 'cette', 'opération', ""c'est"", 'sociale', 'changera', 'travail', 'excetera', 'chaque', 'personnes', 'contribue', 'serait-ce', 'euros', 'symbolique', 'changera', 'plaît', 'aidez', 'remerciant', 'vôtre', 'compréhension', 'votre', 'geste', '❤Read']",256.0,3000.0,21.333333333333332,1,40,3
19,"Medical, Illness & Healing",Aubagne,8.6,2021-12-20,12,41,"['Bienvenue', 'cette', 'cagnotte', 'visant', 'aider', 'financer', 'frais', 'médicaux', ""d'Ibrahima"", 'Gueye', 'Ibrahima', 'Gueye', 'fondateur', 'président', ""d'honneur"", ""l'association"", 'patients', 'Saafara', 'hépatites', 'Sénégal', 'depuis', 'améliorer', 'quotidien', 'prise', 'charge', 'personnes', 'vivant', 'hépatite', 'virale', 'chronique.•', 'Malheureusement', 'santé', 'nécessite', 'greffe', ""n'est"", 'disponible', 'Sénégal.•', 'Ibrahima', ""s'est"", 'rendu', 'Egypte', 'accompagné', 'frère', 'fille', 'opéré', 'prochains', 'jours.•', 'Cette', 'cagnotte', 'aider', 'Ibrahima', 'couvrir', 'billets', ""d'avions"", 'frais', 'séjour', 'frais', ""d'opération"", 'paiements', 'sécurisés', 'cagnotte', 'transféré', 'Ibrahima', 'biais', 'frère', 'Samba', 'Batily', 'Gueye.Merci', 'avance', ""l'aide"", 'petite', 'grande', 'pourrez', 'apporter', 'savoir', ""l'histoire"", 'combat', ""d'Ibrahima"", 'cliquez-ici', 'visionnez', 'cette', 'vidéo', 'wolof', '.____________________________________________________________________Welcome', 'fundraising', 'Ibrahima', 'Gueye', 'medical', 'bills•', 'Ibrahima', 'Gueye', 'founder', 'honorary', 'President', 'Safaara', 'hepatites', 'Senegalese', 'patients', 'association', 'fighting', 'years', 'improve', 'daily', 'management', 'patients', 'living', 'chronic', 'viral', 'hepatitis', 'infection.•', 'Unfortunetaly', 'Ibrahima', 'condition', 'requires', 'liver', 'transplant', 'procedure', 'which', 'available', 'Senegal.•', 'Ibrahima', 'Egypt', 'brother', 'daughter', 'undergo', 'surgery', 'weeks.•', 'plane', 'tickets', 'Cairo', 'surgery', 'payments', 'secure', 'funds', 'transferred', 'Ibrahima', 'through', 'brother', 'Samba', 'Batily', 'Gueye.Thank', 'avance', 'small', 'provide', 'learn', 'about', 'Ibrahima', 'personal', 'history', 'challenges', 'people', 'living', 'hepatitis', 'Senegal', 'click', '.____________________________________________________________________Ibrahima', 'African', 'Liver', 'Patients', 'Association', 'Ibrahima', ""l'association"", 'africaine', 'patients', 'foie.Read']",430.0,5000.0,35.833333333333336,1,41,3
