,title,Categorie,collect,town,Pourcentage Raised,Creation Date,Description
393,support lcole shree sarboddhar au npal,Education & Learning,"€230 raised of €2,000                    ",Bellon,11.5%,"Created December 23, 2021","Bonjour , Je m'appelle Régis et , avec ma compagne Maryse , nous sommes de retour d'un voyage au Népal . Nous avons passé 2 jour dans le village de notre guide et visité une école secondaire qui manque cruellement de moyen . Il manque des professeurs et , ceux qui y sont sont payés environ 100$ par mois . C'est aussi l'ancienne école de notre guide et de son frère et l'actuelle de leurs enfants .Ils m'ont demandé leur support pour améliorer leur quotidien et renforcer l'éducation des élèves en créant un ou plusieurs postes . C'est pour cela que j'ai créé cette cagnotte en ligne . Read more"
394,aidez tilicho avoir sa salle de yoga et dortoir,Education & Learning,"€325 raised of €5,000                    ",Gurs,6.5%,Created 1 day ago,"Pour ceux qui ne me connaissent pas, je m’appelle Tilicho et je suis enseignante spirituelle. J’ai vécu 13 ans en Inde et j’enseigne le yoga ( asanas et satsang/développement personnel). Lorsque je suis rentrée en France, je n’avais pas d’argent alors j’ai vendu mon appartement de 40 m2 à la frontière de Genève et j’ai eu la chance de trouver une maison de 400m2 très peu chère en liquidation dans le Béarn, le sud-ouest de la France, ce qui m’a permis avec l’aide d’amis de rénover la maison pour héberger ceux qui le souhaitent et aussi pour enseigner le yoga. J’ai mis du double vitrage, chauffage central, isolation, refait la moitié de la toiture, j’ai acheté la plupart des meubles et décoration dans des magasins de deuxième main. J’ai aujourd’hui trois belles chambres que je peux louer à l’année en colocation pour pouvoir subvenir aux besoins de moi-même et de mes enfants. Il en reste deux à louer 400€/mois toutes charges comprises. Elles disposent d’un salon et d’une cuisine à partager entre colocataires, buanderie et terrasse extérieure, à Gurs dans le Béarn. Je n’ai plus d’argent pour faire la salle de yoga de 80m2 ainsi que le dortoir avec la salle de bain. Si ce projet doit se mettre en place, je compte donc sur vous pour me donner un coup de pouceDans tous les cas, je vous souhaite plein de paix, d’amour et de lumière  TilichoRead more"
395,the 44 challenge for the next greatest generation,Education & Learning,"€330 raised of €6,644                    ",Nonant,5.0%,"Created December 13, 2021","Next Gen Normandy  is an educational travel program to the WWII battlefields in Normandy, France for students, teachers and lifelong learners.It's aim is to allow young people to learn valuable life and leadership lessons from the men and women who helped win WWII on 6 June 1944. This will inspire them to build the next Greatest Generation and accomplish great things for the future.YOU can help a student and/or teachers in need travel to Normandy!BACK THEM UP THROUGH THE “44 CHALLENGE”!WHAT IS THE “44 CHALLENGE”?A 44 Challenge is a « 44 themed » challenge that pays tribute to the Greatest Generation through a physical, mental or commemorative effort repeated 44 times. EXAMPLES: Decorate 44 WWII hero graves at your local cemetery, do 44 push-ups, learn 44 units that landed on D-Day off the top of your head and recite them in less than 66 seconds (6.6.44, get it?;-), raise $44 selling WWII style powdered lemonade, etc. Do you have another idea? GO FOR IT! (More examples under ""Can't find a 44 Challenge?"" below).HOW DOES IT WORK?Pick your 44 Challenge and announce it on your social media (Facebook, Instagram, Youtube, TikTok or other).Tag or invite as many friends you like. Ask them to bet that you will succeed your challenge in the form of a small $6 donation to the Next Gen Normandy Program made on our GoFundMe page. You have 44 hours to complete the challenge and post a video or pictures of it.If you fail or don’t complete your challenge, you lose the bet and you donate $6 yourself to the Next Gen Normandy Scholarship Program. If you succeed, your friends pledge to double their donation with another $6 each. BACK ‘EM UP FOR ONLY $6!!!CAN’T FIND A 44 CHALLENGE?Next Gen Normandy Program Manager Geert Van den Bogaert will be pulling up his sleeves in 2022 as well by taking on 20 (the number of years he has been guiding the D-Day beaches) 44 challenges in one year (his 44th birthday year ^^!). Here is his list of challenges in case you need more inspiration:1. Decorate 44 graves of Allied soldiers in 6 different cemeteries in a day2. Visit 44 WWII museums in Normandy in a year3. Run 6 km in 44 minutes4. Get 44 endorsements from WWII veterans during the year5. Get 44 likes in 66 minutes for our Memorial Day FB post6. Walk the length of Omaha Beach with a 44 kilos pack on my back in 66 minutes or less7. Memorize and recite 44 units that landed on D-Day in 66 seconds or less8. Fast for 44 hours9. Get a flash mob of at least 44 people who bring something blue or grey to form a 29th Infantry Division insignia on Omaha Beach as a tribute to those who landed there.10. Play 44 holes on the Omaha Beach golf course starting at dawn and try to finish before dark11. Do 44 push-ups in 66 seconds12. Visit 44 D-Day monuments in one day13. Make 44 free throws on the basketball court in 66 seconds or less14. Stay 44 seconds underwater in the English Channel15. Get 44 shares of the hashtag #NextGenNormandy with a picture of a student who is going to travel in 2022 on Instagram16. Stand at attention without moving for 44 minutes at the grave of an unknown soldier17. Answer 44 D-Day questions from a high school class during a live zoom or webinar with 2 of the Next Gen Normandy program guides. They are only allowed to leave 6 questions or less unanswered.18. Bet 44 Dollars on a crap game (one of the WWII GI's most favorite pre-D-Day past times!) and not lose.19. Raise 44 Dollars selling powdered WWII lemonade at 1 Dollar a cup in 6 hours20. Ask 44 businesses and organizations to support the NGN program by donating $66 Dollars each in one year. Highlight their support on our social media and promo materials emphasizing how they are « Helping to build the Next Greatest Generation »Read more"
396,cauchemar au rve amricain,Education & Learning,"€395 raised of €50,000                    ", ,1.0%,"Created January 6, 2022","Le 16 Novembre 2020, un appel bouleverse ma vie et brise mon rêve !Un cardiologue m'impose l’arrêt immédiat du football sous peine d'une mort subite…Je m'appelle Anatole Levallois, j'ai 19 ans, originaire de Granville, dans la Manche en Normandie, je vais vous raconter mon histoire où plutôt comment je suis passé de futur joueur de football universitaire aux USA avec une bourse sportive à devoir arrêter le football du jour au lendemain pour RESTER EN VIE!D'un rêve idéaliste, c'est un objectif pour lequel je travaille dur depuis le collège en m'entrainant seul en parallèle des entrainements en club. Durant toutes mes années lycée, je me lève tous les jours à 5h00 du matin, je m'entraine le matin, pars en cours à 7h pour la journée puis enchaîne avec un entrainement en club ou une séance individuelle.A cette même période, je découvre l'opportunité qu’offrent certaines universités américaines qui recrutent certains joueurs étrangers en leur finançant tout ou partie de leurs années universitaires. Je suis à ce moment lucide sur mes capacités footballistiques. J'ai des qualités mais je suis encore loin du niveau professionnel ou semi-professionnel permettant de vivre du football. Cependant, je suis persuadé de ma capacité à travailler plus que les autres et à être meilleur sur le long terme.Immédiatement ce projet me séduit sachant que ces bourses sportives me permettraient de couvrir tout ou partiellement les coûts universitaires extrêmement élevés aux Etats-Unis. Je suis également conscient que percer dans ce milieu est difficile ou qu’une blessure peut vite briser une carrière. Il est donc capital d’avoir un plan B avec des études sérieuses.Après de nombreux échanges avec mes parents qui me soutiennent dans mon projet, je m’investis à 100% pour me donner toutes les chances de pouvoir de devenir étudiant/joueur de football dans une université américaine. Je me renseigne sur toutes les modalités nécessaires : visas, tests d’anglais obligatoires, … et commence à envoyer des emails à des coachs d'universités pour lesquelles je suis intéressé. En parallèle, à l'été 2019, j'intègre un gros club de ma région, l'U.S. Avranches, afin de toujours jouer au meilleur niveau possible.En Septembre 2019, reprise du lycée avec la préparation du BAC, je passe le TOEFL et le SAT, deux examens en anglais obligatoires pour étudier en université aux Etats-Unis. D’un coût non négligeable, je les finance personnellement avec un petit job d’été et obtiens deux très bons résultats à chacun.D’octobre à janvier, j’entre en contact avec plus de 250 universités qui m’intéressent tant pour le niveau où évolue leur équipe de football que pour les opportunités d’études qu’elles offrent et j’envoie également environ 1000 emails aux différents coachs. Sur le volume, je reçois en retour un nombre important de propositions très intéressantes avec différents projets proposés. Mon choix se base à chaque fois sur 3 critères principaux :·     Bourse : Financièrement abordable pour moi et mes parents·     Ambition : Projet sportif de l'équipe·     Etudes : Opportunités d’enseignements proposésAprès plus d'une cinquantaine d'appels avec différents coachs sur l’ensemble des Etats-Unis, mon choix s’oriente mi-mars 2020 sur Pima Community College, une université dont les Aztecs, son équipe de Soccer, a été championne nationale en 2018 de NJCAA. Elle propose un excellent projet sportif et également académique avec tous les critères que je recherche.De plus, le staff de l’équipe de soccer a une réelle volonté de me recruter et de m’intégrer dans le projet de l’équipe.Fin mars 2020, le Covid-19 nous oblige au confinement avec différentes restrictions sanitaires : je poursuis ma préparation au Bac en ligne et la saison de football est stoppée net. Pour cette première saison passée à l'US Avranches, nous remportons le championnat de U18 Régional 1 en ayant la meilleure défense du championnat et nous accédons au meilleur niveau des moins de 19 ans : Le championnat national !Avec le confinement imposé, je souhaite mettre tout en place pour arriver bien préparer et le plus affuté possible aux Etats-Unis. Je commence donc une préparation sportive individuelle intensive. De mars à juillet, je m’impose 2 entrainements quotidiens. Voici une vidéo qui résume mon quotidien à ce moment: https://www.youtube.com/watch?v=Xb3FjrFU7nMCette période difficile avec les conditions sanitaires anxiogènes est excellente pour moi durant laquelle je progresse énormément que ce soit physiquement, techniquement et mentalement.Cependant, en juillet à 2 semaines de mon départ, j'apprends que notre saison est reportée à cause du Covid-19 et décale mon départ de 6 mois. Je décide alors de poursuivre cette préparation avec toujours plus de 20 heures d'entrainements par semaine tout en commençant mon premier semestre à Pima Community College à distance.En novembre 2020, dans l’objectif d’améliorer encore mes performances, je décide de faire des tests médicaux. Et le 16 Novembre 2020, le Centre médico sportif du CHU de Caen m’annonce avoir découvert une hypertrophie artérielle et une dilatation de mon aorte ascendante, une anomalie pouvant provoquer une mort subite à un effort intense.Plus qu’un choc, ce sont mes projets, mon ambition, mon avenir, … ma vie qui s'écroulent d’un seul coup ! Je ne peux pas y croire, je n’arrive pas à les croire. Je me pense qu’il s’agit d’une erreur mais des examens approfondis confirment le diagnostic.Les jours suivants sont extrêmement difficiles à vivre et la réalité tellement dure à accepter. Ce projet visualisé depuis tellement d’années s'écroule du jour au lendemain. Fini le sport, fini le football… J’étais perdu et n’avais plus d’avenir !L’opération a lieu en urgence le 22 décembre 2020 pendant les fêtes de fin d'années et j’apprends ensuite du chirurgien que mon aorte avait déjà commencé à se dégrader et que j'aurais dû mourir si un caillot de sang ne s’était pas formé pour l’éviter...Ainsi, devant partir en août 2020, sans le Covid-19 qui provoqua le blocage des frontières américaines puis le report du début des championnats de soccer, je n'aurais jamais fait cette échographie et je serais certainement décédé à l'entrainement ou pendant un match aux Etats-Unis : LE COVID-19 M’A DONC SAUVÉ LA VIE !Après 1 mois de rééducation cardiaque William Harvey en centre spécialisé durant lequel j’ai repris mes cours du 2ème semestre à Tucson en distanciel, je passe 3 jours chez mes parents et suis de nouveau hospitalisé en raison de nouvelles complications suite à l'opération. En plus, j'ai attrapé le Covid-19 au Centre de rééducation cardiaque ...Rentré chez moi, je passe 6 mois cloîtré et obtiens malgré tout la moyenne scolaire parfaite de 4.00 sur 4.00. Durant ces 6 mois, je suis toujours extrêmement bouleversé mais un objectif me permet de me motiver malgré tout : Partir aux USA pour poursuivre mes études, rencontrer le coach avec lequel j’ai échangé durant plus d’un an et les joueurs avec lesquels j’aurai joué.Ne pouvant plus bénéficier de la bourse sportive, ma situation financière n’était plus la même … et les études universitaires aux Etats-Unis sont excessivement onéreuses. Ayant étudié en ligne toute la 1ère année, l’économie des voyages, du logement, de la nourriture et des frais additionnée à un prêt étudiant et l’aide de mes parents me permet financièrement de pouvoir envisager de partir sans aucune bourse d’étude.En raison de mon opération cardiaque, l'assurance prévue avec laquelle j'avais signé un contrat en juillet 2020 et aucune autre compagnie ne veulent prendre le risque de m'assurer. Je me trouve à nouveau dans l'obligation de mener une nouvelle bataille de 4 mois d'avril à juillet pour parvenir au final à être obligé de réaliser un montage improbable composé de 3 assurances différentes pour me permettre d'être couvert et de partir.Et enfin, début août 2021, plus d'un an après le départ initialement prévu, je m’envole pour les Etats-Unis.Je découvre alors un autre pays, une autre culture, une tout autre façon de vivre. Juste avant mon arrivée, l'entraineur principal de l'équipe de soccer de l'université me propose d'aider l'équipe en intégrant le staff en tant qu'entraineur adjoint.Je découvre alors un nouveau rôle dans le football; celui d'être sur le banc. Nous reprenons les entrainements plusieurs semaines avant le début du semestre de cours et j'affronte tout de suite une réalité extrêmement difficile : je ne joue plus et je ne pourrai plus jamais jouer !Après seulement le deuxième entrainement de l'équipe auquel j'assiste, je reviens dans mon appartement et fonds en larmes. Je me demande réellement ce que je fais là, pourquoi je suis venu aux Etats-Unis. La compétition, le dépassement de soi, le travail acharné n'est plus possible pour moi et je regarde maintenant tous les jours les joueurs de l’équipe faire ce que je veux faire.Malgré la difficulté psychologique provoqué par la situation, je prends de plus en plus de plaisir dans ce nouveau rôle de coach. Mon implication avec l'équipe et les responsabilités de plus en plus importantes que me confie le staff (création et la mise en place des exercices, animation des entrainements, échauffements d’avant match, travail tactique, analyses vidéos de nos matchs et celui de nos adversaires, …), je prends de plus en plus de plaisir...Cette 1ère saison, nous réalisons une phase de championnat avec 14 victoires de suite avant de perdre notre dernier match 1-0 mais sommes tout de même qualifiées au tournoi national. Nous partons en fin Novembre jouer ce tournoi national dans le Kansas et après un tournoi exceptionnel de l’équipe, nous le gagnons et devenons champions des Etats-Unis 2021 de NJCAA!Finalement, la morale de mon histoire est que dans un projet tout peut s'arrêter du jour au lendemain et on peut tout perdre mais si ce n'est pas la vie, rien n'est fini et tout peut recommencer. Tant qu’il y a la vie, il y a de l’espoir et des projets à créer et à faire aboutir.Après avoir appris que je ne pourrais plus jamais faire du sport de compétition, j'étais dévasté. Il ne s’agissait pas simplement d’une passion pratiquée au quotidien mais un véritable projet de vie dans lequel je croyais et pour lequel je me levais chaque matin. Plus qu'un rêve, c'était un choix et un objectif. J'avais décidé de réussir dans le football.Au final, après avoir vécu cette expérience, aujourd'hui, je me sens plus fort mentalement. Chaque jour je me dis que je suis un survivant et que j'ai encore plus envie d’apprendre et d'entreprendre sur tous les projets qui me tiennent à cœur. J’ai encore plus envie parce je juge injuste ce qui s'est passé.Lien de l'article: https://www.lamanchelibre.fr/actualite-972655-photos-coutances-malgre-les-epreuves-anatole-reste-cramponne-a-son-reve-americainAujourd'hui, je suis déterminé plus que jamais à rebondir, à mener de nombreux projets et mettre tout en œuvre pour les faire aboutir.Avec la disparition de mes bourses d’étude, une difficulté est malgré tout présente : Comment financer le minimum des 50 000€ nécessaires à ma 3ème et 4ème année aux Etats-Unis et pouvoir continuer à coacher ?Avec ma très bonne moyenne académique de 3.87 sur 4.00, j’espère pouvoir bénéficier d'une bourse mais cette dernière ne couvrira qu’une toute petite partie du montant nécessaire. J’ai déjà fait un prêt étudiant et ne pourrais pas bénéficier d’une rallonge et mes parents m’ont déjà beaucoup aidé et je suis certains qu’ils continueront mais ne pourront pas financer l’ensemble.L’objectif de cette cagnotte est donc de vous présenter mon histoire mais je ne souhaite pas faire l’aumône mais simplement vous présenter une histoire et vous propose d’être acteur de la belle histoire que j’ai décidé d’écrire car ce que vous venez de lire n’est que le début.C’est aujourd’hui l'idée que j’ai trouvé pour me permettre de construire un nouveau rêve, d’espérer pouvoir mettre en place mes nouveaux projets et d’atteindre mes nouveaux objectifs et tous ceux que je ne me suis pas encore fixés.Merci de m’avoir lu jusqu’au bout et de votre soutien.Read more"
397,help charbel finish his studies,Education & Learning,€220 raised of €700                    ,Paris,31.4%,"Created December 21, 2021","Charbel lives in Lebanon with his parents. He is a 3rd year engineer student  whois doing his best to make it in a country with no money and very few resources. His father is a driver and his mother a seamstress with a salary that does not exceed 2 000 000 L.L both. He wants to finish his engineering studies and help his parents financially. We are close friends of Charbel and his family and we have known them for years. To help him continue his education we are starting this fundraiser. For the next semester, 17 000 000 L.L is needed (around 700$ on current rate) (total of 21 credit x 252$ rated 2900 L.L)This is a challenge Charbel parents were not expecting to face, but we hope he’ll be able to continue his educational journey with your support.Please don't think that any amount of money is too small. Honestly, 5$ is plenty. You shouldn't feel you have to give any more than that. With 5$ each, we will pass the goal easily.Thank you again for being willing to make a difference, to give Charbel a chance. Read more"
398,p4jpn building a school in africa,Education & Learning,"€585 raised of €19,000                    ",Les Loges-en-Josas,3.1%,"Created November 4, 2021","I was born and raised in a tiny village in west Africa, called Kiero. I came from a modest family in which going to school used to be an unpredictable event. I decided by myself in 1994 to go to school and in 2002 was obliged to stop due to the rebellion in Côte d’Ivoire. Back on track in 2005, I have been able to reach high level of responsibilities and achievements. If not for the sacrifice of my family, my teachers, and specifically and more importantly the €15.00 support I got from a non-family member, I would have never graduated.Those facts made me believe that we should impact more those communities which I'm sure we can find more talented people than me.I has previously brought together several executives in this village, to build water pumps for the 500+ inhabitants who have lived in Kiero for 20+ years without clean water. Through my efforts, today 100+ women no longer need to travel tens of kilometers to fetch drinking water...However, today we have a bigger problem. More than 200 kids are in the age of going to school but cannot due to lack of space and distance.I want to alleviate this problem by building a new school, that can provide education to kids in Kiero. I have contacted local partners including builders and equipment suppliers who can help achieve this.The cost of building the new school will be €19,000, and I am currently raising funds to achieve this reality. I am in talks with HEC Foundation and other partners, and I humbly request all of you to contribute towards this mission. It will only be possible with your help, and any amounts will be greatly appreciated.In case you have any question, we are happy to answer:[email redacted][email redacted]Thank you very much,Wetonou PALE, Fernando MÉLEGA, Jean-Pierre GODEME, Bengisu TAN, Aditya DANGIRead more"
399,HendersonResearchFunding,Education & Learning,"€2,885 raised of €3,500                    ",Paris,82.4%,"Created October 25, 2021","My vision is simple: To provide thought leadership promoting racial equity in European businessI am an independent organizational consultant and executive coach focused on equity, diversity, and inclusion and inclusive leadership. I also research and publish on the topic of equity, diversity, and inclusion, solo or in collaboration with tenured professors. Equity, diversity, and inclusion initiatives in Europe often deliberately exclude race. I and other EDI advocates encounter reluctance to address racism or outright denial that it exists in European business or broader society, despite mounting evidence to the contrary. Providing research-based thought leadership that names and provides practice strategies to overcome this reluctance and denial is essential for advancing professional opportunities for communities of color in Europe and for shifting (i.e., decolonizing) the way European businesses interact with global stakeholders.As an independent researcher, my ability to conduct research and publish is constrained by time and financial resources. Even with these constraints, I have already published impactful, short pieces that push the conversation forward. Although my consulting work often allows me an audience with decision-makers within one organization, I would like to engage in more public advocacy through journal articles and lectures that center recognizing and confronting European racism as important priorities. While I explore grant opportunities as a longer-term source of funding, I am currently raising €3500 to take advantage of two near-term unpaid publishing opportunities. Your sponsorship will enable me to produce these important thought leadership pieces by allowing me to: (1) devote professional time for research and writing, (2) hire and pay 1 or 2 student research assistants, and (3) work with an editor to get my articles ready for publishing more quickly.I have so many ideas to share with business leaders, fellow researchers, and EDI practitioners about Europe's potential role in advancing racial equity. Please help me get them out to the broadest audiences possible. Contributions of all sizes are most welcome, and messages of support always appreciated.Thank you so much!Read more"
400,dinkar nepal lse policy analysis online course,Education & Learning,"€1,595 raised of €2,600                    ",Bayonne,61.3%,"Created October 22, 2021","This fundraiser is to support Dinkar Nepal to take the Public Policy Analysis Course from London School of Economics and Politics. Dinkar Nepal, has been a columnist for various Nepali papers for more than a decade. He brings forward issues from grassroots with a uniqe and wide ranging perspective. Dinkar pledges to propagate the skills and knowledge gained through this course by conducting a free Public Discourse and Public Policy Analysis course for Nepali Participants.Read more"
401,voyage la dcouverte des volcans dauvergne,Education & Learning,"€45 raised of €15,000                    ",Saint-Clar-de-Rivière,1.0%,Created 3 days ago,"Bonjour,Nous sommes les élèves de l'école Flora Tristan de Seysses (31). Nous sommes en CP et en CM2. Nous avons pour projet de partir 4 jours en Auvergne pour découvrir les volcans. Nous visiterons le parc Vulcania, nous ferons des randonnées au lac Pavin, et dans le parc de Chaude-Four. Nous grimperons en haut du Puy de Dôme.Nous sommes 55 élèves et nous serons accompagnés de nos maîtresses.Grâce à votre financement nous pourrons tous partir, sans exception. Et à notre retour nous pourrons nous fabriquer un magnifique livre-photos pour nous souvenir toute notre vie de ce super voyage, qui pour beaucoup d'entre nous sera le premier de notre scolarité !!!Alors n'hésitez plus, financez notre projet !Read more"
402,help nicolas produce his fashion collection,Education & Learning,"€4,091 raised of €4,000                    ",Paris,100%,"Created November 28, 2021","Hello! My name is Nicolas and I’m a third year student at IFM Paris. As my bachelor program is coming to an end, I am preparing a final collection at school which will be part of Paris Fashion Week in June 2022. This collection will include 6 to 8 looks fully accessorized with bags and shoes. Having lived in very different environments, it tells story of my journey finding harmony in contrasting thematics such as culture and gender.Producing these pieces not only takes alot of time but a lot of ressources as well. Contributing to my collection would participate to it’s success and to it getting noticed by people in the fashion industry. No matter how big or small your support is, I will be grateful for your help and will surely share my collection with you once produced!NicolasBonjour! Je m'appelle Nicolas et je suis étudiant en troisième année à l’Institut Français de la Mode. Alors que mon programme de Bachelor touche à sa fin, je prépare une collection finale à l'école qui fera partie de la Fashion Week de Juin 2022. Cette collection comprendra 6 à 8 looks entièrement accessoirisés avec des sacs et des chaussures. Ayant vécu dans des environnements très différents, elle raconte l'histoire de mon voyage à la recherche de l'harmonie entre des thématiques contrastantes telles que la culture et le genre.La production de ces pièces nécessite non seulement du talent, du temps, mais aussi beaucoup de moyens. Contribuer à ma collection participerait à son succès et à sa notoriété auprès des acteurs de l'industrie de la mode. Je vous serai reconnaissant de votre aide et ne manquerai pas de partager avec vous ma collection une fois produite!Nicolas Read more"
403,help chui day care centre to improve its building,Education & Learning,"€1,100 raised of €5,000                    ",Châlons-en-Champagne,22.0%,"Created November 17, 2021","Hi, I am helping to raise funds to improve the classrooms of the Chui Day Care & Education Centre located in Kinyangiri village in rural Singida, Tanzania. The centre provides education and learning facilities to disadvantaged children most coming from low-income families. These children usually have no access to even basic education compared to those in the cities.In 2021, Chui Day Care Centre was built in Kinyangiri village to start providing early childhood education to kids. Currently, the school building needs a ceiling to be installed to prevent heat from the sun and well as the noise from the rain during classes.The whole project to install a ceiling costs 950 Euro.I would like to reach out to all of you for your contribution so that the school can be improved and thus improve the learning environment for the children. Thank you so much.You can also check our Instagramhttps://www.instagram.com/chuidaycare/Read more"
404,financement pour le bpjeps,Education & Learning,"€380 raised of €2,900                    ",La Seyne-sur-Mer,13.1%,"Created November 23, 2021","Salut tout le monde !!Je m'appelle Cécile j'ai 41 ans et je souhaite me reconvertir en coach sportif. Vous allez me dire c'est la mode tout le monde veut faire ça !! Oui mais tout le monde ne réussit pas les tests nationaux ni même les tests de l'école.  J'ai tout validé ! Malheureusement à mon âge compliqué d'obtenir un financement.  Vous êtes mon dernier recours pour atteindre mon objectif.  Difficile à croire aujourd'hui,  en France, qu'on empêche les gens d'obtenir des compétences et des diplômes parce qu'ils n'ont pas les moyens financiers. Vous pouvez changer la donne ! C'est un petit geste pour vous mais pour moi c'est l'avenir de ma famille.  Je suis maman solo de 3 grands enfants. Merci pour votre bienveillance !A bientôt !Cece Read more"
405,gxbpfc aider une ong construire une ecole en tanzanie,Education & Learning,€680 raised of €800                    ,Strasbourg,85.0%,"Created November 19, 2021","Tomorrow For Future est une ONG créée en 2019 par Selly Norman et Emmanuel Buxan, deux jeunes de 26 ans de Kihonda et Mkundi, des villages à côté de Morogoro, une grande ville du centre de la Tanzanie.Ils souhaitent développer les communautés locales en créant une école pour accueillir les enfants dont les familles n'ont pas les moyens de payer une école privé. Depuis 2019, ils occupent la salle de classe d'une autre école de Mkundi puisque la gérante accepte de leur prêter la salle vide durant l'après-midi. L'objectif de Selly et Emmanuel est de devenir indépendant en créant leur propre école pour y dispenser des cours le matin : mathématiques, lecture et écriture en anglais et en swahili. Mais aussi pour des apprentissages divers l'après-midi : agriculture, arts, développement social.Nous faisons appel à la générosité de chacun pour :Acheter un terrain à Mkundi. Le budget pour cela est de 700.000 shillings soit environ 270€.Construire une salle de classe, un bureau et des toilettes. Le budget pour cela est de minimum 2 millions de shillings, soit environ 770€.Nous nous fixons une somme de 800€ à atteindre pour l'achat du terrain, et démarrer le financement des travaux.Le premier objectif est l'achat du terrain pour le mois de Janvier 2022. -----------------------------------------------------------------Liens utiles / Réseaux sociauxInstagram >https://instagram.com/tomorrowforfutureFacebook >https://m.facebook.com/pages/category/Nonprofit-Organization/Tomorrow-for-future-2363994553871152/Website >http://www.tomorrow-for-future.jimdosite.comRead more"
406,d8zdcd stolen laptop replacement,Education & Learning,"€625 raised of €2,200                    ",Paris,28.4%,"Created November 7, 2021","Hi, my name is Katie and I am a Masters student studying Interior Architecture in Paris, France. My backpack was stolen last night, which sadly had my laptop in it. My laptop is what I use for all my schoolwork, and is a requirement to do any sort of design work. Additionally, I rely on my laptop to make an income, since I am currently working for a NY based firm remotely. I am not in a financial situation to replace the laptop on my own, and anything you can give to help me buy another would be greatly appreciated!Read more"
407,aidez moi pay mon cole,Education & Learning,"€5,033 raised of €5,000                    ",Paris,100%,Created 7 days ago,Bonjour je m’appelle khoudia et je fais un collecte de fonds pour pouvoir payer mon école en Corée du Sud Read more
